Question,main,A,B,C,D,E,F,G,Answer
Question #332 Topic 1 ,Which of the following technique creates a replica of an evidence media?,Data Extraction ,Backup ,Bit Stream Imaging ,Data Deduplication ,,,,Bit Stream Imaging 
Question #333 Topic 1 ,"Which among the following search warrants allows the first responder to get the victim's computer information such as service records, billing records, and subscriber information from the service provider?",Citizen Informant Search Warrant ,Electronic Storage Device Search Warrant ,John Doe Search Warrant ,Service Provider Search Warrant ,,,,Service Provider Search Warrant 
Question #334 Topic 1 ,"Madison is on trial for allegedly breaking into her university's internal network. The police raided her dorm room and seized all of her computer equipment.
Madison's lawyer is trying to convince the judge that the seizure was unfounded and baseless. Under which US Amendment is Madison's lawyer trying to prove the police violated?",The 4 Amendment ,The 1 Amendment st ,The 10 Amendment th ,The 5 Amendment th ,,,,The 4 Amendment 
Question #335 Topic 1 ,Casey has acquired data from a hard disk in an open source acquisition format that allows her to generate compressed or uncompressed image files. What format did she use?,Portable Document Format ,Advanced Forensics Format (AFF) ,Proprietary Format ,Raw Format ,,,,Advanced Forensics Format (AFF) 
Question #336 Topic 1 ,"Depending upon the jurisdictional areas, different laws apply to different incidents. Which of the following law is related to fraud and related activity in connection with computers?",18 USC ֲ§1029 ,18 USC ֲ§1030 ,18 USC ֲ§1361 ,18 USC ֲ§1371 ,,,,18 USC ֲ§1030 
Question #337 Topic 1 ,Linux operating system has two types of typical bootloaders namely LILO (Linux Loader) and GRUB (Grand Unified Bootloader). In which stage of the booting process do the bootloaders become active?,Bootloader Stage ,Kernel Stage ,BootROM Stage ,BIOS Stage ,,,,Bootloader Stage 
Question #338 Topic 1 ,Which of the following Event Correlation Approach checks and compares all the fields systematically and intentionally for positive and negative correlation with each other to determine the correlation across one or multiple fields?,Rule-Based Approach ,Automated Field Correlation ,Field-Based Approach ,Graph-Based Approach ,,,,Automated Field Correlation 
Question #339 Topic 1 ,Which of the following tool creates a bit-by-bit image of an evidence media?,Recuva ,FileMerlin ,AccessData FTK Imager ,Xplico ,,,,AccessData FTK Imager 
Question #340 Topic 1 ,"Data is striped at a byte level across multiple drives, and parity information is distributed among all member drives.

What RAID level is represented here?",RAID Level 0 ,RAID Level 5 ,RAID Level 3 ,RAID Level 1 ,,,,RAID Level 5 
Question #341 Topic 1 ,What is the location of the binary files required for the functioning of the OS in a Linux system?,/run ,/bin ,/root ,/sbin ,,,,/bin 
Question #342 Topic 1 ,Which of the following files DOES NOT use Object Linking and Embedding (OLE) technology to embed and link to other objects?,Portable Document Format ,MS-office Word Document ,MS-office Word OneNote ,MS-office Word PowerPoint ,,,,Portable Document Format 
Question #343 Topic 1 ,"Ivanovich, a forensics investigator, is trying to extract complete information about running processes from a system. Where should he look apart from the RAM and virtual memory?",Swap space ,Application data ,Files and documents ,Slack space ,,,,Swap space 
Question #344 Topic 1 ,"When marking evidence that has been collected with the `aaa/ddmmyy/nnnn/zz` format, what does the `nnnn` denote?",The initials of the forensics analyst ,The sequence number for the parts of the same exhibit ,The year he evidence was taken ,The sequential number of the exhibits seized by the analyst ,,,,The sequential number of the exhibits seized by the analyst 
Question #345 Topic 1 ,Which MySQL log file contains information on server start and stop?,Slow query log file ,General query log file ,Binary log ,Error log file ,,,,Error log file 
Question #346 Topic 1 ,"Which of the following is a record of the characteristics of a file system, including its size, the block size, the empty and the filled blocks and their respective counts, the size and location of the inode tables, the disk block map and usage information, and the size of the block groups?",Inode bitmap block ,Superblock ,Block bitmap block ,Data block ,,,,Superblock 
Question #347 Topic 1 ,"Bob works as information security analyst for a big finance company. One day, the anomaly-based intrusion detection system alerted that a volumetric DDOS targeting the main IP of the main web server was occurring. What kind of attack is it?",IDS attack ,APT ,Web application attack ,Network attack ,,,,Network attack 
Question #348 Topic 1 ,Which of the following refers to the process of the witness being questioned by the attorney who called the latter to the stand?,Witness Authentication ,Direct Examination ,Expert Witness ,Cross Questioning ,,,,Direct Examination 
Question #349 Topic 1 ,Which rule requires an original recording to be provided to prove the content of a recording?,1004 ,1002 ,1003 ,1005 ,,,,1002 
Question #350 Topic 1 ,The investigator wants to examine changes made to the system's registry by the suspect program. Which of the following tool can help the investigator?,TRIPWIRE ,RAM Capturer ,Regshot ,What's Running ,,,,Regshot 
Question #351 Topic 1 ,"What does the part of the log, `% SEC-6-IPACCESSLOGP`, extracted from a Cisco router represent?",The system was not able to process the packet because there was not enough room for all of the desired IP header options ,Immediate action required messages ,"Some packet-matching logs were missed because the access list log messages were rate limited, or no access list log buffers were available ",A packet matching the log criteria for the given access list has been detected (TCP or UDP) ,,,,A packet matching the log criteria for the given access list has been detected (TCP or UDP) 
Question #352 Topic 1 ,"Files stored in the Recycle Bin in its physical location are renamed as Dxy.ext, where `x` represents the ___________________.",Drive name ,Original file name's extension ,Sequential number ,Original file name ,,,,Drive name 
Question #353 Topic 1 ,Which of the following is an iOS Jailbreaking tool?,Kingo Android ROOT ,Towelroot ,One Click Root ,Redsn0w ,,,,Redsn0w 
Question #354 Topic 1 ,Which of the following Registry components include offsets to other cells as well as the LastWrite time for the key?,Value list cell ,Value cell ,Key cell ,Security descriptor cell ,,,,Key cell 
Question #355 Topic 1 ,What is the default IIS log location?,SystemDrive\inetpub\LogFiles ,%SystemDrive%\inetpub\logs\LogFiles ,%SystemDrive\logs\LogFiles ,SystemDrive\logs\LogFiles ,,,,%SystemDrive%\inetpub\logs\LogFiles 
Question #356 Topic 1 ,Charles has accidentally deleted an important file while working on his Mac computer. He wants to recover the deleted file as it contains some of his crucial business secrets. Which of the following tool will help Charles?,Xplico ,Colasoft's Capsa ,FileSalvage ,DriveSpy ,,,,FileSalvage 
Question #357 Topic 1 ,Which file is a sequence of bytes organized into blocks understandable by the system's linker?,executable file ,source file ,Object file ,None of these ,,,,Object file 
Question #358 Topic 1 ,"Smith, a forensic examiner, was analyzing a hard disk image to find and acquire deleted sensitive files. He stumbled upon a $Recycle.Bin folder in the root directory of the disk. Identify the operating system in use.",Windows 98 ,Linux ,Windows 8.1 ,Windows XP ,,,,Windows XP 
Question #359 Topic 1 ,Jason discovered a file named $RIYG6VR.doc in the C:\$Recycle.Bin\<USER SID>\ while analyzing a hard disk image for the deleted data. What inferences can he make from the file name?,It is a doc file deleted in seventh sequential order ,RIYG6VR.doc is the name of the doc file deleted from the system ,It is file deleted from R drive ,It is a deleted doc file ,,,,It is a deleted doc file 
Question #360 Topic 1 ,Which among the following files provides email header information in the Microsoft Exchange server?,gwcheck.db ,PRIV.EDB ,PUB.EDB ,PRIV.STM ,,,,PRIV.EDB 
Question #361 Topic 1 ,"Which of the following attacks allows an attacker to access restricted directories, including application source code, configuration and critical system files, and to execute commands outside of the web server's root directory?",Parameter/form tampering ,Unvalidated input ,Directory traversal ,Security misconfiguration ,,,,Directory traversal 
Question #362 Topic 1 ,What is the size value of a nibble?,0.5 kilo byte ,0.5 bit ,0.5 byte ,2 bits ,,,,0.5 byte 
Question #363 Topic 1 ,Which of the following tool enables a user to reset his/her lost admin password in a Windows system?,Advanced Office Password Recovery ,Active@ Password Changer ,Smartkey Password Recovery Bundle Standard ,Passware Kit Forensic ,,,,Active@ Password Changer 
Question #364 Topic 1 ,Which of the following acts as a network intrusion detection system as well as network intrusion prevention system?,Accunetix ,Nikto ,Snort ,Kismet ,,,,Snort 
Question #365 Topic 1 ,"In Steganalysis, which of the following describes a Known-stego attack?",The hidden message and the corresponding stego-image are known ,"During the communication process, active attackers can change cover ",Original and stego-object are available and the steganography algorithm is known ,Only the steganography medium is available for analysis ,,,,Original and stego-object are available and the steganography algorithm is known 
Question #366 Topic 1 ,Annie is searching for certain deleted files on a system running Windows XP OS. Where will she find the files if they were not completely deleted from the system?,C: $Recycled.Bin ,C: \$Recycle.Bin ,C:\RECYCLER ,C:\$RECYCLER ,,,,C: \$Recycle.Bin 
Question #367 Topic 1 ,"Which of the following files stores information about a local Google Drive installation such as User email ID, Local Sync Root Path, and Client version installed?",filecache.db ,config.db ,sigstore.db ,Sync_config.db ,,,,Sync_config.db 
Question #368 Topic 1 ,An expert witness is a __________________ who is normally appointed by a party to assist the formulation and preparation of a party's claim or defense.,Expert in criminal investigation ,Subject matter specialist ,Witness present at the crime scene ,Expert law graduate appointed by attorney ,,,,Subject matter specialist 
Question #369 Topic 1 ,"Smith, a network administrator with a large MNC, was the first to arrive at a suspected crime scene involving criminal use of compromised computers. What should be his first response while maintaining the integrity of evidence?",Record the system state by taking photographs of physical system and the display ,Perform data acquisition without disturbing the state of the systems ,"Open the systems, remove the hard disk and secure it ",Switch off the systems and carry them to the laboratory ,,,,Record the system state by taking photographs of physical system and the display 
Question #370 Topic 1 ,Which of the following is a database in which information about every file and directory on an NT File System (NTFS) volume is stored?,Volume Boot Record ,Master Boot Record ,GUID Partition Table ,Master File Table ,,,,Master File Table 
Question #371 Topic 1 ,"Adam, a forensic investigator, is investigating an attack on Microsoft Exchange Server of a large organization. As the first step of the investigation, he examined the PRIV.EDB file and found the source from where the mail originated and the name of the file that disappeared upon execution. Now, he wants to examine the
MIME stream content. Which of the following files is he going to examine?",PRIV.STM ,gwcheck.db ,PRIV.EDB ,PUB.EDB ,,,,PRIV.STM 
Question #372 Topic 1 ,"Stephen is checking an image using Compare Files by The Wizard, and he sees the file signature is shown as FF D8 FF E1. What is the file type of the image?",gif ,bmp ,jpeg ,png ,,,,jpeg 
Question #373 Topic 1 ,Which of the following tools will help the investigator to analyze web server logs?,XRY LOGICAL ,LanWhois ,Deep Log Monitor ,Deep Log Analyzer ,,,,Deep Log Analyzer 
Question #374 Topic 1 ,Which of the following files gives information about the client sync sessions in Google Drive on Windows?,sync_log.log ,Sync_log.log ,sync.log ,Sync.log ,,,,Sync_log.log 
Question #375 Topic 1 ,Which among the following is an act passed by the U.S. Congress in 2002 to protect investors from the possibility of fraudulent accounting activities by corporations?,HIPAA ,GLBA ,SOX ,FISMA ,,,,SOX 
Question #376 Topic 1 ,Richard is extracting volatile data from a system and uses the command doskey/history. What is he trying to extract?,Events history ,Previously typed commands ,History of the browser ,Passwords used across the system ,,,,Previously typed commands 
Question #377 Topic 1 ,Jacky encrypts her documents using a password. It is known that she uses her daughter's year of birth as part of the password. Which password cracking technique would be optimal to crack her password?,Rule-based attack ,Brute force attack ,Syllable attack ,Hybrid attack ,,,,Rule-based attack 
Question #378 Topic 1 ,Which of the following tool can the investigator use to analyze the network to detect Trojan activities?,Regshot ,TRIPWIRE ,RAM Computer ,Capsa ,,,,Capsa 
Question #379 Topic 1 ,"When a user deletes a file or folder, the system stores complete path including the original filename is a special hidden file called `INFO2` in the Recycled folder. If the INFO2 file is deleted, it is recovered when you ______________________.",Undo the last action performed on the system ,Reboot Windows ,Use a recovery tool to undelete the file ,Download the file from Microsoft website ,,,,Undo the last action performed on the system 
Question #380 Topic 1 ,What is the primary function of the tool CHKDSK in Windows that authenticates the file system reliability of a volume?,Repairs logical file system errors ,Check the disk for hardware errors ,Check the disk for connectivity errors ,Check the disk for Slack Space ,,,,Repairs logical file system errors 
Question #381 Topic 1 ,Which of the following tool enables data acquisition and duplication?,Colasoft's Capsa ,DriveSpy ,Wireshark ,Xplico ,,,,DriveSpy 
Question #382 Topic 1 ,What does 254 represent in ICCID 89254021520014515744?,Industry Identifier Prefix ,Country Code ,Individual Account Identification Number ,Issuer Identifier Number ,,,,Country Code 
Question #383 Topic 1 ,Shane has started the static analysis of a malware and is using the tool ResourcesExtract to find more details of the malicious program. What part of the analysis is he performing?,Identifying File Dependencies ,Strings search ,Dynamic analysis ,File obfuscation ,,,,Strings search 
Question #384 Topic 1 ,A master boot record (MBR) is the first sector (`sector zero`) of a data storage device. What is the size of MBR?,Depends on the capacity of the storage device ,1048 Bytes ,4092 Bytes ,512 Bytes ,,,,512 Bytes 
Question #385 Topic 1 ,Which password cracking technique uses every possible combination of character sets?,Rainbow table attack ,Brute force attack ,Rule-based attack ,Dictionary attack ,,,,Brute force attack 
Question #386 Topic 1 ,Which of the following Event Correlation Approach is an advanced correlation method that assumes and predicts what an attacker can do next after the attack by studying the statistics and probability and uses only two variables?,Bayesian Correlation ,Vulnerability-Based Approach ,Rule-Based Approach ,Route Correlation ,,,,Bayesian Correlation 
Question #387 Topic 1 ,"NTFS has reduced slack space than FAT, thus having lesser potential to hide data in the slack space. This is because:",FAT does not index files ,NTFS is a journaling file system ,NTFS has lower cluster size space ,FAT is an older and inefficient file system ,,,,NTFS has lower cluster size space 
Question #388 Topic 1 ,"Smith, as a part his forensic investigation assignment, seized a mobile device. He was asked to recover the Subscriber Identity Module (SIM card) data in the mobile device. Smith found that the SIM was protected by a Personal Identification Number (PIN) code, but he was also aware that people generally leave the PIN numbers to the defaults or use easily guessable numbers such as 1234. He made three unsuccessful attempts, which blocked the SIM card. What can Jason do in this scenario to reset the PIN and access SIM data?",He should contact the network operator for a Temporary Unlock Code (TUK) ,Use system and hardware tools to gain access ,He can attempt PIN guesses after 24 hours ,He should contact the network operator for Personal Unlock Number (PUK) ,,,,He should contact the network operator for Personal Unlock Number (PUK) 
Question #389 Topic 1 ,"Which of the following data structures stores attributes of a process, as well as pointers to other attributes and data structures?",Lsproc ,DumpChk ,RegEdit ,EProcess ,,,,EProcess 
Question #390 Topic 1 ,How will you categorize a cybercrime that took place within a CSP's cloud environment?,Cloud as a Subject ,Cloud as a Tool ,Cloud as an Audit ,Cloud as an Object ,,,,Cloud as an Object 
Question #391 Topic 1 ,Which of the following reports are delivered under oath to a board of directors/managers/panel of the jury?,Written Formal Report ,Verbal Formal Report ,Verbal Informal Report ,Written Informal Report ,,,,Verbal Formal Report 
Question #392 Topic 1 ,The process of restarting a computer that is already turned on through the operating system is called?,Warm boot ,Ice boot ,Hot Boot ,Cold boot ,,,,Warm boot 
Question #393 Topic 1 ,"Amber, a black hat hacker, has embedded a malware into a small enticing advertisement and posted it on a popular ad-network that displays across various websites. What is she doing?",Click-jacking ,Compromising a legitimate site ,Spearphishing ,Malvertising ,,,,Malvertising 
Question #394 Topic 1 ,Sectors are pie-shaped regions on a hard disk that store data. Which of the following parts of a hard disk do not contribute in determining the addresses of data?,Sectors ,Interface ,Cylinder ,Heads ,,,,Interface 
Question #395 Topic 1 ,"Netstat is a tool for collecting information regarding network connections. It provides a simple view of TCP and UDP connections, and their state and network traffic statistics. Which of the following commands shows you the TCP and UDP network connections, listening ports, and the identifiers?","netstat ג€"" r ","netstat ג€"" ano ","netstat ג€"" b ","netstat ג€"" s ",,,,"netstat ג€"" ano "
Question #396 Topic 1 ,"Billy, a computer forensics expert, has recovered a large number of DBX files during the forensic investigation of a laptop. Which of the following email clients can he use to analyze the DBX files?",Microsoft Outlook ,Eudora ,Mozilla Thunderbird ,Microsoft Outlook Express ,,,,Microsoft Outlook Express 
Question #397 Topic 1 ,"Which network attack is described by the following statement? ""At least five Russian major banks came under a continuous hacker attack, although online client services were not disrupted. The attack came from a wide-scale botnet involving at least 24,000 computers, located in 30 countries.""",Man-in-the-Middle Attack ,Sniffer Attack ,Buffer Overflow ,DDoS ,,,,DDoS 
Question #398 Topic 1 ,Which of the following is NOT a part of pre-investigation phase?,Building forensics workstation ,Gathering information about the incident ,Gathering evidence data ,Creating an investigation team ,,,,Gathering evidence data 
Question #399 Topic 1 ,To which phase of the Computer Forensics Investigation Process does the Planning and Budgeting of a Forensics Lab belong?,Post-investigation Phase ,Reporting Phase ,Pre-investigation Phase ,Investigation Phase ,,,,Pre-investigation Phase 
Question #400 Topic 1 ,Which tool does the investigator use to extract artifacts left by Google Drive on the system?,PEBrowse Professional ,RegScanner ,RAM Capturer ,Dependency Walker ,,,,RAM Capturer 
Question #401 Topic 1 ,"BMP (Bitmap) is a standard file format for computers running the Windows operating system. BMP images can range from black and white (1 bit per pixel) up to
24 bit color (16.7 million colors). Each bitmap file contains a header, the RGBQUAD array, information header, and image data. Which of the following element specifies the dimensions, compression type, and color format for the bitmap?",Information header ,Image data ,The RGBQUAD array ,Header ,,,,Information header 
Question #402 Topic 1 ,Identify the file system that uses $BitMap file to keep track of all used and unused clusters on a volume.,NTFS ,FAT ,EXT ,FAT32 ,,,,NTFS 
Question #403 Topic 1 ,An investigator has acquired packed software and needed to analyze it for the presence of malice. Which of the following tools can help in finding the packaging software used?,SysAnalyzer ,PEiD ,Comodo Programs Manager ,Dependency Walker ,,,,PEiD 
Question #404 Topic 1 ,"Korey, a data mining specialist in a knowledge processing firm DataHub.com, reported his CISO that he has lost certain sensitive data stored on his laptop. The
CISO wants his forensics investigation team to find if the data loss was accident or intentional. In which of the following category this case will fall?",Civil Investigation ,Administrative Investigation ,Both Civil and Criminal Investigations ,Criminal Investigation ,,,,Administrative Investigation 
Question #405 Topic 1 ,"Which of the following Windows-based tool displays who is logged onto a computer, either locally or remotely?",Tokenmon ,PSLoggedon ,TCPView ,Process Monitor ,,,,PSLoggedon 
Question #406 Topic 1 ,"A forensic examiner is examining a Windows system seized from a crime scene. During the examination of a suspect file, he discovered that the file is password protected. He tried guessing the password using the suspect's available information but without any success. Which of the following tool can help the investigator to solve this issue?",Cain & Abel ,Xplico ,Recuva ,Colasoft's Capsa ,,,,Cain & Abel 
Question #407 Topic 1 ,Which of the following Android libraries are used to render 2D (SGL) or 3D (OpenGL/ES) graphics content to the screen?,OpenGL/ES and SGL ,Surface Manager ,Media framework ,WebKit ,,,,OpenGL/ES and SGL 
Question #408 Topic 1 ,Report writing is a crucial stage in the outcome of an investigation. Which information should not be included in the report section?,Speculation or opinion as to the cause of the incident ,Purpose of the report ,Author of the report ,Incident summary ,,,,Speculation or opinion as to the cause of the incident 
Question #409 Topic 1 ,"You are assigned a task to examine the log files pertaining to MyISAM storage engine. While examining, you are asked to perform a recovery operation on a
MyISAM log file. Which among the following MySQL Utilities allow you to do so?",mysqldump ,myisamaccess ,myisamlog ,myisamchk ,,,,myisamlog 
Question #410 Topic 1 ,"Andie, a network administrator, suspects unusual network services running on a windows system. Which of the following commands should he use to verify unusual network services started on a Windows system?",net serv ,netmgr ,lusrmgr ,net start ,,,,net start 
Question #411 Topic 1 ,Randy has extracted data from an old version of a Windows-based system and discovered info file Dc5.txt in the system recycle bin. What does the file name denote?,A text file deleted from C drive in sixth sequential order ,A text file deleted from C drive in fifth sequential order ,A text file copied from D drive to C drive in fifth sequential order ,A text file copied from C drive to D drive in fifth sequential order ,,,,A text file deleted from C drive in fifth sequential order 
Question #412 Topic 1 ,Sheila is a forensics trainee and is searching for hidden image files on a hard disk. She used a forensic investigation tool to view the media in hexadecimal code for simplifying the search process. Which of the following hex codes should she look for to identify image files?,ff d8 ff ,25 50 44 46 ,d0 0f 11 e0 ,50 41 03 04 ,,,,ff d8 ff 
Question #413 Topic 1 ,"Shane, a forensic specialist, is investigating an ongoing attack on a MySQL database server hosted on a Windows machine with SID `WIN-ABCDE12345F.`
Which of the following log file will help Shane in tracking all the client connections and activities performed on the database server?",WIN-ABCDE12345F.err ,WIN-ABCDE12345F-bin.n ,WIN-ABCDE12345F.pid ,WIN-ABCDE12345F.log ,,,,WIN-ABCDE12345F.log 
Question #414 Topic 1 ,What must an attorney do first before you are called to testify as an expert?,Qualify you as an expert witness ,Read your curriculum vitae to the jury ,Engage in damage control ,Prove that the tools you used to conduct your examination are perfect ,,,,Qualify you as an expert witness 
Question #415 Topic 1 ,Gary is checking for the devices connected to USB ports of a suspect system during an investigation. Select the appropriate tool that will help him document all the connected devices.,DevScan ,Devcon ,fsutil ,Reg.exe ,,,,Devcon 
Question #416 Topic 1 ,Which of the following is NOT a physical evidence?,Removable media ,Cables ,Image file on a hard disk ,Publications ,,,,Image file on a hard disk 
Question #417 Topic 1 ,"During forensics investigations, investigators tend to collect the system time at first and compare it with UTC. What does the abbreviation UTC stand for?",Coordinated Universal Time ,Universal Computer Time ,Universal Time for Computers ,Correlated Universal Time ,,,,Coordinated Universal Time 
Question #418 Topic 1 ,"Buffer overflow vulnerability of a web application occurs when it fails to guard its buffer properly and allows writing beyond its maximum size. Thus, it overwrites the_________. There are multiple forms of buffer overflow, including a Heap Buffer Overflow and a Format String Attack.",Adjacent memory locations ,Adjacent bit blocks ,Adjacent buffer locations ,Adjacent string locations ,,,,Adjacent memory locations 
Question #419 Topic 1 ,Which of the following is a part of a Solid-State Drive (SSD)?,Head ,Cylinder ,NAND-based flash memory ,Spindle ,,,,NAND-based flash memory 
Question #420 Topic 1 ,Which of the following standard represents a legal precedent set in 1993 by the Supreme Court of the United States regarding the admissibility of expert witnesses' testimony during federal legal proceedings?,SWGDE & SWGIT ,IOCE ,Frye ,Daubert ,,,,Daubert 
Question #421 Topic 1 ,Which of the following statements is incorrect when preserving digital evidence?,"Verify if the monitor is in on, off, or in sleep mode ",Turn on the computer and extract Windows event viewer log files ,Remove the plug from the power router or modem ,"Document the actions and changes that you observe in the monitor, computer, printer, or in other peripherals ",,,,Turn on the computer and extract Windows event viewer log files 
Question #422 Topic 1 ,Which of the following ISO standard defines file systems and protocol for exchanging data between optical disks?,ISO 9660 ,ISO/IEC 13940 ,ISO 9060 ,IEC 3490 ,,,,ISO 9660 
Question #423 Topic 1 ,"Lynne receives the following email:
Dear lynne@gmail.com! We are sorry to inform you that your ID has been temporarily frozen due to incorrect or missing information saved at 2016/11/10 20:40:24
You have 24 hours to fix this problem or risk to be closed permanently!
To proceed Please Connect >> My Apple ID
Thank You The link to My Apple ID shows http://byggarbetsplatsen.se/backup/signon/
What type of attack is this?",Mail Bombing ,Phishing ,Email Spamming ,Email Spoofing ,,,,Phishing 
Question #424 Topic 1 ,"What value of the ""Boot Record Signature"" is used to indicate that the boot-loader exists?",AA55 ,00AA ,AA00 ,A100 ,,,,AA55 
Question #425 Topic 1 ,Which of the following is a MAC-based File Recovery Tool?,VirtualLab ,GetDataBack ,Cisdem DataRecovery 3 ,Smart Undeleter ,,,,Cisdem DataRecovery 3 
Question #426 Topic 1 ,"Smith, an employee of a reputed forensic investigation firm, has been hired by a private organization to investigate a laptop that is suspected to be involved in the hacking of the organization's DC server. Smith wants to find all the values typed into the Run box in the Start menu. Which of the following registry keys will Smith check to find the above information?",TypedURLs key ,MountedDevices key ,UserAssist Key ,RunMRU key ,,,,RunMRU key 
Question #427 Topic 1 ,"When analyzing logs, it is important that the clocks of all the network devices are synchronized. Which protocol will help in synchronizing these clocks?",UTC ,PTP ,Time Protocol ,NTP ,,,,NTP 
Question #428 Topic 1 ,"An International Mobile Equipment Identifier (IMEI) is a 15-digit number that indicates the manufacturer, model type, and country of approval for GSM devices. The first eight digits of an IMEI number that provide information about the model and origin of the mobile device is also known as:",Type Allocation Code (TAC) ,Integrated Circuit Code (ICC) ,Manufacturer Identification Code (MIC) ,Device Origin Code (DOC) ,,,,Type Allocation Code (TAC) 
Question #429 Topic 1 ,Which of the following is NOT an anti-forensics technique?,Data Deduplication ,Steganography ,Encryption ,Password Protection ,,,,Data Deduplication 
Question #430 Topic 1 ,"Rusty, a computer forensics apprentice, uses the command nbtstat `""c while analyzing the network information in a suspect system. What information is he looking for?",Contents of the network routing table ,Status of the network carrier ,Contents of the NetBIOS name cache ,Network connections ,,,,Contents of the NetBIOS name cache 
Question #431 Topic 1 ,"Gary, a computer technician, is facing allegations of abusing children online by befriending them and sending them illicit adult images from his office computer.
What type of investigation does this case require?",Administrative Investigation ,Criminal Investigation ,Both Criminal and Administrative Investigation ,Civil Investigation ,,,,Criminal Investigation 
Question #432 Topic 1 ,The Apache server saves diagnostic information and error messages that it encounters while processing requests. The default path of this file is usr/local/apache/ logs/error.log in Linux. Identify the Apache error log from the following logs.,http://victim.com/scripts/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..% c0%af../..%c0%af../winnt/system32/cmd.exe?/c+dir+C:\Winnt \system32\Logfiles\W3SVC1 ,[Wed Oct 11 14:32:52 2000] [error] [client 127.0.0.1] client denied by server configuration: /export/home/live/ap/htdocs/test ,"127.0.0.1 - frank [10/Oct/2000:13:55:36 -0700]""GET /apache_pb.gif HTTP/1.0"" 200 2326 ","127.0.0.1 - - [10/Apr/2007:10:39:11 +0300] ] [error] ""GET /apache_pb.gif HTTP/1.0"" 200 2326 ",,,,[Wed Oct 11 14:32:52 2000] [error] [client 127.0.0.1] client denied by server configuration: /export/home/live/ap/htdocs/test 
Question #433 Topic 1 ,"Tasklist command displays a list of applications and services with their Process ID (PID) for all tasks running on either a local or a remote computer. Which of the following tasklist commands provides information about the listed processes, including the image name, PID, name, and number of the session for the process?",tasklist /p ,tasklist /v ,tasklist /u ,tasklist /s ,,,,tasklist /v 
Question #434 Topic 1 ,Which part of Metasploit framework helps users to hide the data related to a previously deleted file or currently unused by the allocated file.,Waffen FS ,RuneFS ,FragFS ,Slacker ,,,,Slacker 
Question #435 Topic 1 ,Which one of the following is not a first response procedure?,Preserve volatile data ,Fill forms ,Crack passwords ,Take photos ,,,,Crack passwords 
Question #436 Topic 1 ,Graphics Interchange Format (GIF) is a ____ RGB bitmap image format for images with up to 256 distinct colors per frame.,8-bit ,32-bit ,16-bit ,24-bit ,,,,8-bit 
Question #437 Topic 1 ,Hard disk data addressing is a method of allotting addresses to each _______ of data on a hard disk.,Physical block ,Operating system block ,Hard disk block ,Logical block ,,,,Physical block 
Question #438 Topic 1 ,Which of the following standard represents a legal precedent regarding the admissibility of scientific examinations or experiments in legal cases?,SWGDE & SWGIT ,Daubert ,Frye ,IOCE ,,,,Frye 
Question #439 Topic 1 ,"Event correlation is the process of finding relevance between the events that produce a final result. What type of correlation will help an organization to correlate events across a set of servers, systems, routers and network?",Same-platform correlation ,Network-platform correlation ,Cross-platform correlation ,Multiple-platform correlation ,,,,Cross-platform correlation 
Question #440 Topic 1 ,What malware analysis operation can the investigator perform using the jv16 tool?,Files and Folder Monitor ,Installation Monitor ,Network Traffic Monitoring/Analysis ,Registry Analysis/Monitoring ,,,,Registry Analysis/Monitoring 
Question #441 Topic 1 ,"Which of the following email headers specifies an address for mailer-generated errors, like ""no such user"" bounce messages, to go to (instead of the sender's address)?",Mime-Version header ,Content-Type header ,Content-Transfer-Encoding header ,Errors-To header ,,,,Errors-To header 
Question #442 Topic 1 ,Jacob is a computer forensics investigator with over 10 years of experience in investigations and has written over 50 articles on computer forensics. He has been called upon as a qualified witness to testify the accuracy and integrity of the technical log files gathered in an investigation into computer fraud. What is the term used for Jacob's testimony in this case?,Certification ,Justification ,Reiteration ,Authentication ,,,,Authentication 
Question #443 Topic 1 ,"When a user deletes a file, the system creates a $I file to store its details. What detail does the $I file not contain?",File Size ,File origin and modification ,Time and date of deletion ,File Name ,,,,File origin and modification 
Question #444 Topic 1 ,Raw data acquisition format creates _________ of a data set or suspect drive.,Segmented image files ,Simple sequential flat files ,Compressed image files ,Segmented files ,,,,Simple sequential flat files 
Question #445 Topic 1 ,CAN-SPAM act requires that you:,Don't use deceptive subject lines ,Don't tell the recipients where you are located ,Don't identify the message as an ad ,Don't use true header information ,,,,Don't use deceptive subject lines 
Question #446 Topic 1 ,Which of the following registry hive gives the configuration information about which application was used to open various files on the system?,HKEY_CLASSES_ROOT ,HKEY_CURRENT_CONFIG ,HKEY_LOCAL_MACHINE ,HKEY_USERS ,,,,HKEY_CLASSES_ROOT 
Question #447 Topic 1 ,Select the tool appropriate for examining the dynamically linked libraries of an application or malware.,DependencyWalker ,SysAnalyzer ,PEiD ,ResourcesExtract ,,,,DependencyWalker 
Question #448 Topic 1 ,Which U.S. Federal law requires financial institutions that offer consumers financial products or services to protect their customers' private information?,Payment Card Industry Data Security Standard (PCI DSS) ,Federal Information Security Management Act of 2002 (FISMA) ,Health insurance Portability and Accountability Act of 1996 (HIPAA) ,Gramm-Leach-Bliley Act (GLBA) ,,,,Payment Card Industry Data Security Standard (PCI DSS) 
